year,country,label,voc,gdp_pc_ppp,gdp_pc_unadjusted,pre_tax_gini,post_tax_gini,population
1999,FI,Finland,CME,50759.614,42132.9806,0.4257,0.2674,5165516
1999,JP,Japan,CME,43116.9211,25053.1567,0.4911,0.4372,126801564
1999,NL,Netherlands,CME,60313.6605,50379.6384,0.3835,0.2832,15940184
1999,NO,Norway,CME,83624.3103,70880.5216,0.3836,0.2416,4461787
1999,SE,Sweden,CME,51296.1725,41303.1752,0.4091,0.2342,8857686
1999,AU,Australia,LME,52405.0735,49325.1164,0.465,0.3603,18909981
1999,CA,Canada,LME,52384.6087,44006.8,0.4927,0.3737,30599456
1999,GB,United Kingdom,LME,47079.9913,41161.085,0.4919,0.37,58838657
1999,NZ,New Zealand,LME,37639.7969,33891.7763,0.5299,0.4314,3835555
1999,US,United States,LME,60823.4,60823.4,0.5467,0.4623,278785484
2000,AT,Austria,CME,61155.3203,47853.931,0.4219,0.3114,8012928
2000,BE,Belgium,CME,57600.7593,44657.6145,0.4529,0.3222,10251717
2000,CH,Switzerland,CME,76892.1049,83671.5357,0.4239,0.3134,7184007
2000,DE,Germany,CME,56464.3407,43447.8986,0.4361,0.3284,81797258
2000,DK,Denmark,CME,65418.9856,54952.1981,0.412,0.198,5339658
2000,FI,Finland,CME,53568.6284,44464.601,0.4378,0.2693,5176202
2000,JP,Japan,CME,44229.96,25699.8897,0.5025,0.4442,127027789
2000,NL,Netherlands,CME,62380.2047,52105.8103,0.3842,0.2848,16058760
2000,NO,Norway,CME,85840.4216,72758.9122,0.4134,0.2494,4490867
2000,SE,Sweden,CME,53653.8114,43201.523,0.392,0.2238,8872101
2000,AU,Australia,LME,53325.487,50191.4353,0.4677,0.3537,19132471
2000,CA,Canada,LME,54575.4285,45847.2446,0.5017,0.3794,30891803
2000,GB,United Kingdom,LME,48931.4199,42779.7516,0.4823,0.3549,59057338
2000,NZ,New Zealand,LME,38541.4816,34703.6748,0.4975,0.3959,3857574
2000,US,United States,LME,62696.3,62696.3,0.5501,0.4674,281484131
2001,AT,Austria,CME,61700.6407,48280.6433,0.4149,0.2981,8042233
2001,BE,Belgium,CME,58002.0223,44968.7119,0.4473,0.3111,10287004
2001,CH,Switzerland,CME,77602.364,84444.417,0.4185,0.3099,7226391
2001,DE,Germany,CME,57318.2778,44104.9818,0.4374,0.3343,81933885
2001,DK,Denmark,CME,65721.625,55206.4163,0.3966,0.1962,5358828
2001,FI,Finland,CME,54827.7704,45509.7509,0.43120000000000003,0.2797,5187971
2001,JP,Japan,CME,44319.7156,25752.0424,0.5133,0.4545,127260148
2001,NL,Netherlands,CME,63342.9213,52909.9617,0.3942,0.2971,16182705
2001,NO,Norway,CME,87172.3965,73887.903,0.3891,0.2289,4513657
2001,SE,Sweden,CME,54285.1972,43709.9087,0.3832,0.2304,8896022
2001,AU,Australia,LME,54273.4115,51083.6483,0.4607,0.3588,19365433
2001,CA,Canada,LME,54979.6625,46186.8299,0.4982,0.3796,31213577
2001,GB,United Kingdom,LME,49997.8324,43712.0945,0.4867,0.3557,59288090
2001,NZ,New Zealand,LME,39523.4258,35587.841,0.5074,0.413,3891762
2001,US,United States,LME,62672.3,62672.3,0.5438,0.4611,284279639
2002,AT,Austria,CME,62314.2805,48760.8154,0.4218,0.3106,8081636
2002,BE,Belgium,CME,58732.6864,45535.1926,0.4422,0.3047,10332973
2002,CH,Switzerland,CME,76991.4126,83779.5992,0.4108,0.294,7278752
2002,DE,Germany,CME,57111.1063,43945.5686,0.4437,0.338,82068326
2002,DK,Denmark,CME,65817.6553,55287.0822,0.392,0.1925,5375959
2002,FI,Finland,CME,55620.8126,46168.015,0.4261,0.2774,5200546
